model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,confusion_matrix,training_time,prediction_time
random,0.53,0.534072249589491,0.5350903119868637,0.5332532051282052,0.53,0.5283018867924528,0.5271698113207548,"[[59 37]
 [57 47]]",6.9141387939453125e-06,2.9802322387695312e-05
naive_bayes,0.785,0.7867167919799498,0.7880902255639097,0.7864583333333333,0.785,0.7849946248656217,0.7849516237905948,"[[79 17]
 [26 78]]",0.0019440650939941406,0.0014348030090332031
svm,0.72,0.7272541819665443,0.729326805385557,0.7231570512820513,0.72,0.7192982456140351,0.7187368421052631,"[[77 19]
 [37 67]]",1.7547492980957031,0.23930883407592773
absa,0.8285714285714286,0.6906570472952428,0.8261801055524622,0.6387993862677407,0.8285714285714286,0.6482702837232454,0.8236119382421958,"[[103   4  25]
 [ 14   8  11]
 [ 38   4 353]]",55.799736976623535,1.3641767501831055
absa_all,0.8232142857142857,0.6869444444444444,0.8141830357142857,0.6051336146272855,0.8232142857142857,0.6139839857595872,0.8124909030205306,"[[101   2  29]
 [ 12   5  16]
 [ 37   3 355]]",66.60631704330444,1.6901168823242188
